name,type,mappedLocationId,margin,freight,updatedAt,state,parentToChildDistance
SAGAR,LOCATION,,,,2023-10-19T17:42:01.463Z,MADHYA PRADESH,
BHAVNAGAR,LOCATION,,,,2023-10-19T17:42:01.463Z,GUJARAT,
SAHEBGANJ,LOCATION,,,,2023-10-19T17:42:01.463Z,JHARKHAND,
THIRUVANANTHAPURAM,LOCATION,,,,2023-10-19T17:42:01.463Z,KERALA,
ARARIA,LOCATION,,,,2023-10-19T17:42:01.464Z,BIHAR,48
JAIPUR,LOCATION,,,,2023-11-21T05:59:50.181Z,RAJASTHAN,
SIMDEGA,LOCATION,,,,2023-10-19T17:42:01.464Z,JHARKHAND,
TIRUCHIRAPPALLI,LOCATION,,,,2023-10-19T17:42:01.464Z,TAMIL NADU,
KISHANGANJ,LOCATION,,,,2023-10-19T17:42:01.465Z,BIHAR,68
CACHAR,LOCATION,,,,2023-10-19T17:42:01.465Z,ASSAM,
UDALGURI,LOCATION,,,,2023-10-19T17:42:01.465Z,ASSAM,84
SAMASTIPUR,LOCATION,,,,2023-10-19T17:42:01.465Z,BIHAR,
KURUNG KUMEY,LOCATION,,,,2023-10-19T17:42:01.465Z,ARUNACHAL PRADESH,
MANDYA,LOCATION,,,,2024-03-15T11:39:01.429Z,KARNATAKA,43
CHITRAKOOT,LOCATION,,,,2023-10-19T17:42:01.466Z,UTTAR PRADESH,116
CHAMBA,LOCATION,,,,2023-10-19T17:42:01.466Z,HIMACHAL PRADESH,
KORBA,LOCATION,,,,2023-10-19T17:42:01.466Z,CHHATTISGARH,88
PEREN,LOCATION,,,,2023-10-19T17:42:01.466Z,NAGALAND,
SINDHUDURG,LOCATION,,,,2023-10-19T17:42:01.467Z,MAHARASHTRA,
BASTAR,LOCATION,,,,2023-10-19T17:42:01.467Z,CHHATTISGARH,106
JANGOAN,LOCATION,,,,2023-10-19T17:42:01.467Z,TELANGANA,59
CHURACHANDPUR,LOCATION,,,,2023-10-19T17:42:01.468Z,MANIPUR,
BIJNOR,LOCATION,,,,2023-10-19T17:42:01.468Z,UTTAR PRADESH,53
DIBRUGARH,LOCATION,,,,2023-10-19T17:42:01.453Z,ASSAM,
JAUNPUR,LOCATION,,,,2023-10-19T17:42:01.453Z,UTTAR PRADESH,99
PERAMBALUR,LOCATION,,,,2023-10-19T17:42:01.454Z,TAMIL NADU,130
RUDRAPRAYAG,LOCATION,,,,2023-10-19T17:42:01.454Z,UTTARAKHAND,91
BARPETA,LOCATION,,,,2023-10-19T17:42:01.454Z,ASSAM,99
BELAGAVI,LOCATION,,,,2023-10-19T17:42:01.454Z,KARNATAKA,
HASSAN,LOCATION,,,,2023-10-19T17:42:01.454Z,KARNATAKA,111
CHHINDWARA,LOCATION,,,,2023-10-19T17:42:01.455Z,MADHYA PRADESH,
MYSURU,LOCATION,,,,2023-10-19T17:42:01.455Z,KARNATAKA,
YAVATMAL,LOCATION,,,,2023-10-19T17:42:01.455Z,MAHARASHTRA,
PORBANDAR,LOCATION,,,,2023-10-19T17:42:01.455Z,GUJARAT,
MAHENDRAGARH,LOCATION,,,,2023-10-19T17:42:01.455Z,HARYANA,
CHITTOOR,LOCATION,,,,2023-10-19T17:42:01.455Z,ANDHRA PRADESH,
KAMRUP,LOCATION,,,,2023-10-28T08:52:31.513Z,ASSAM,
PANIPAT,LOCATION,,,,2024-06-15T04:31:39.378Z,HARYANA,91
MOHALI,LOCATION,,,,2024-06-27T11:29:01.999Z,PUNJAB,7
COIMBATORE,LOCATION,,,,2023-10-19T17:42:01.456Z,TAMIL NADU,
AURANGABAD,LOCATION,,,,2023-10-19T17:42:01.456Z,MAHARASHTRA,
DARBHANGA,LOCATION,,,,2023-10-19T17:42:01.457Z,BIHAR,42
KRISHNAGIRI,LOCATION,,,,2023-10-19T17:42:01.457Z,TAMIL NADU,
AMBALA,LOCATION,,,,2023-10-19T17:42:01.457Z,HARYANA,49
BATHINDA,LOCATION,,,,2023-10-19T17:42:01.457Z,PUNJAB,
MURSHIDABAD,LOCATION,,,,2023-10-19T17:42:01.458Z,WEST BENGAL,
SUNDARGARH,LOCATION,,,,2023-10-19T17:42:01.458Z,ODISHA,139
IMPHAL EAST,LOCATION,,,,2023-10-19T17:42:01.458Z,MANIPUR,
BOKARO,LOCATION,,,,2023-10-19T17:42:01.459Z,JHARKHAND,38
KAITHAL,LOCATION,,,,2023-10-19T17:42:01.459Z,HARYANA,51
THIRUVALLUR,LOCATION,,,,2023-10-19T17:42:01.459Z,TAMIL NADU,44
MANDLA,LOCATION,,,,2023-10-19T17:42:01.459Z,MADHYA PRADESH,
BIJAPUR,LOCATION,,,,2023-10-19T17:42:01.460Z,CHHATTISGARH,86
JAISALMER,LOCATION,,,,2023-10-19T17:42:01.460Z,RAJASTHAN,
JAGATSINGHAPUR,LOCATION,,,,2023-10-19T17:42:01.460Z,ODISHA,41
MAINPURI,LOCATION,,,,2023-10-19T17:42:01.461Z,UTTAR PRADESH,97
BANASKANTHA,LOCATION,,,,2023-10-19T17:42:01.461Z,GUJARAT,
RATLAM,LOCATION,,,,2023-10-19T17:42:01.462Z,MADHYA PRADESH,
BEGUSARAI,LOCATION,,,,2023-10-19T17:42:01.462Z,BIHAR,
RAMGARH,LOCATION,,,,2023-10-19T17:42:01.462Z,JHARKHAND,54
PATNA,LOCATION,,,,2023-10-19T17:42:01.463Z,BIHAR,
LAKHISARAI,LOCATION,,,,2023-10-19T17:42:01.463Z,BIHAR,
